nconst	primaryName	birthYear	deathYear	primaryProfession	knownForTitles	img_url_asset
nm0000019	Federico Fellini	1920	1993	writer,director,actor	tt0071129,tt0047528,tt0050783,tt0056801	https://image.tmdb.org/t/p/{width_variable}/jH2VnHAuI0UbTWsnrjMPro0fC9j.jpg
nm0000030	Audrey Hepburn	1929	1993	actress,soundtrack	tt0046250,tt0054698,tt0056923,tt0058385	https://image.tmdb.org/t/p/{width_variable}/nbkNJ8dr6j5vSZ3M6SKwp0F7Q1P.jpg
nm0000035	James Horner	1953	2015	music_department,soundtrack,composer	tt0177971,tt0120338,tt0499549,tt0120746	https://image.tmdb.org/t/p/{width_variable}/g2C3Fb4fHCU2gnqUcwTQCv5EZc4.jpg
nm0000047	Sophia Loren	1934		actress,soundtrack	tt0058335,tt0054749,tt0076085,tt0060121	https://image.tmdb.org/t/p/{width_variable}/94Kglg5dsAgOKG76230FFN7m6W3.jpg
nm0000053	Robert Mitchum	1917	1997	actor,soundtrack,producer	tt0050356,tt0048424,tt0056197,tt0039689	https://image.tmdb.org/t/p/{width_variable}/l0It7MePd9cwgqHR3JQAYD6YMg9.jpg
nm0000085	Henner Hofmann	1950		cinematographer,producer,camera_department	tt0113482,tt0097738,tt0097523,tt1825758	
nm0000095	Woody Allen	1935		writer,director,actor	tt0075686,tt0070707,tt0118954,tt0079522	https://image.tmdb.org/t/p/{width_variable}/wcPQgZLDibuej1RwNTy1R2U2ZJw.jpg
nm0000099	Patricia Arquette	1968		actress,producer,director	tt1065073,tt0412175,tt0108399,tt0145531	https://image.tmdb.org/t/p/{width_variable}/jYF68PFZORelRFQ8ivVLxR3jXLv.jpg
nm0000123	George Clooney	1961		actor,producer,director	tt1193138,tt0433383,tt0465538,tt1124035	https://image.tmdb.org/t/p/{width_variable}/4s3wI0bqOP7K3hhcmKqV6m3GYiQ.jpg
nm0000147	Colin Firth	1960		actor,producer,soundtrack	tt0243155,tt1315981,tt2802144,tt1504320	https://image.tmdb.org/t/p/{width_variable}/4VBeYEUQbfhnivdkqInM36u5fda.jpg
nm0000149	Jodie Foster	1962		actress,director,producer	tt0476964,tt0102926,tt0075314,tt0094608	https://image.tmdb.org/t/p/{width_variable}/resiaRfWvj4N84TgJi9DPOafCpq.jpg
nm0000154	Mel Gibson	1956		actor,producer,director	tt0117438,tt0112573,tt0104714,tt0118883	https://image.tmdb.org/t/p/{width_variable}/jnqHMaOslt8cef2atSmOpGRvNla.jpg
nm0000167	Elizabeth Hurley	1965		actress,producer	tt0118655,tt0145660,tt0105104,tt0230030	https://image.tmdb.org/t/p/{width_variable}/m18Mx9Fj9XKA9CTDGBDUhluSuGt.jpg
nm0000176	Nastassja Kinski	1961		actress,producer,soundtrack	tt0087884,tt0080009,tt0111400,tt0083722	https://image.tmdb.org/t/p/{width_variable}/svYrIUXH59Dd9wp9HBpS1ASvRAu.jpg
