titleId	ordering	title	region	language	types	attributes	isOriginalTitle
tt0000929	1	Willys Streiche: Klebolin klebt alles	DE		alternative		0
tt0000929	2	Klebolin klebt alles			original		1
tt0000929	3	Klebolin klebt alles	DE		imdbDisplay		0
tt0000977	1	Mutterliebe			original		1
tt0000977	2	Mutterliebe	DE		imdbDisplay		0
tt0015414	1	La tierra de los toros	ES		imdbDisplay		0
tt0015414	2	La tierra de los toros			original		1
tt0015414	3	La terre des taureaux	FR		imdbDisplay		0
tt0015414	4	The Land of the Bulls	XWW	en		informal literal English title	0
tt0015414	5	La Terre des taureaux	FR		alternative		0
tt0015724	1	Dama de noche	MX		imdbDisplay		0
tt0015724	2	Dama de noche			original		1
tt0015724	3	Éjszakai gyilkosság	HU		imdbDisplay		0
tt0015724	4	Lady of the Night					0
tt0034841	1	Hen Hop			original		1
tt0034841	2	Hen Hop	FR		imdbDisplay		0
tt0034841	3	To pidima tis kotas	GR		festival		0
tt0034841	4	Hen Hop	CA				0
tt0038086	1	Shiva und die Galgenblume	DE		imdbDisplay		0
tt0038086	2	Shiva und die Galgenblume			original		1
tt0040844	1	Crossroads of Laredo			original		1
tt0040844	2	The Streets of Laredo	US		working		0
tt0040844	3	Crossroads of Laredo	US		imdbDisplay		0
tt0059325	1	Jahrgang '45	DDDE		imdbDisplay		0
tt0059325	2	Génération 45	FR		festival		0
tt0059325	3	Generazione 45	IT		imdbDisplay		0
tt0059325	4	Jahrgang 45			original		1
tt0059325	5	Rocník 45	CSHH		festival		0
tt0059325	6	Born in '45	US				0
tt0059325	7	Nascido em 1945	BR		imdbDisplay		0
tt0059325	8	Jahrgang 45	DE		imdbDisplay		0
tt0059900	1	Wenn du groß bist, lieber Adam	DE		imdbDisplay		0
tt0059900	2	Wenn du groß bist, lieber Adam	DDDE		imdbDisplay		0
tt0059900	3	Wenn du groß bist, lieber Adam			original		1
tt0059900	4	When You Grow Up, Dear Adam	US		video		0
tt0065188	1	Vojtech, receny sirotek			original		1
tt0065188	2	Vojtech, Called the Orphan					0
tt0065188	3	Vojtech, receny sirotek	CSHH		imdbDisplay		0
tt0067460	1	My Kingdom For...			original		1
tt0067460	2	My Kingdom for...	US		imdbDisplay		0
tt0068494	1	Domo Arigato	US		imdbDisplay		0
tt0068494	2	Thank You Very Much					0
tt0068494	3	Domo Arigato			original		1
tt0068494	4	Arch Oboler's Domo Arigato	US			long title	0
tt0070501	1	Little White Dove	US		imdbDisplay		0
tt0070501	2	Palomita blanca			original		1
tt0070501	3	Little White Dove	GB		imdbDisplay		0
tt0070501	4	Biała gołąbka	PL		imdbDisplay		0
tt0070501	5	Palomita Blanca	CL		imdbDisplay		0
tt0070501	6	Little White Dove	XWW	en	imdbDisplay		0
tt0073481	1	Silloin ennen	FI				0
tt0073481	2	Old Times			original		1
tt0073481	3	Old Times	GB				0
tt0077432	1	Dip huet kei bing	HK	yue	imdbDisplay		0
tt0077432	2	Dip huet kei bing			original		1
tt0077432	3	Bloody Hero	HK	en	imdbDisplay		0
tt0077432	4	Die xue qi bing	HK	cmn	imdbDisplay		0
tt0077432	5	Bloody Hero	XWW	en	imdbDisplay		0
tt0078006	1	Norman and the Killer	US		imdbDisplay		0
tt0078006	2	Norman and the Killer			original		1
tt0080039	1	Locos del espacio	ES		imdbDisplay		0
tt0080039	2	No Secrets					0
tt0080039	3	No secrets	SE		video		0
tt0080039	4	A Touch of the Sun	GB		imdbDisplay		0
tt0080039	5	A Touch of the Sun			original		1
tt0080039	6	No Secrets!	GB		tv		0
tt0081008	1	Kommen und gehen			original		1
tt0081008	2	Kommen und gehen	DE		imdbDisplay		0
tt0081145	10	Me and the Kid			original		1
tt0081145	11	Kid et le Truand	FR		imdbDisplay		0
tt0081145	12	Taking Gary Feldman	US		working		0
tt0081145	13	Me and the Kid	MX		imdbDisplay		0
tt0081145	14	Harry e Carota	IT		imdbDisplay		0
tt0081145	1	Eu E Meu Amigo	BR		tv		0
tt0081145	2	Я и ребёнок	RU		imdbDisplay		0
tt0081145	3	Atrévete a secuestrar un niño y verás	ES		alternative		0
tt0081145	4	Me and the Kid	GB		imdbDisplay		0
tt0081145	5	Hurra! Jag är kidnappad	SE				0
tt0081145	6	Me and the Kid	US		imdbDisplay		0
tt0081145	7	Mein Freund, der Entführer	DE				0
tt0081145	8	Аз и хлапето	BG	bg	imdbDisplay		0
tt0081145	9	El chico y yo	ES				0
tt0081436	1	Rosa Heimat - eine Landillusion	AT		imdbDisplay		0
tt0081436	2	Rosa Heimat - eine Landillusion			original		1
tt0081721	10	ヴィンセントと私	JP	ja	imdbDisplay		0
tt0081721	11	Vincent en ik	NL			informal literal title	0
tt0081721	12	Vincent and Me	GB		imdbDisplay		0
tt0081721	13	Vincent and Me	CA	en	imdbDisplay		0
tt0081721	14	Vicente e eu	BR		imdbDisplay		0
tt0081721	15	Ο Βίνσεντ και εγώ	GR		imdbDisplay		0
tt0081721	16	Vicente y yo	MX		imdbDisplay		0
tt0081721	17	Vincent und ich	DE				0
tt0081721	18	Vincent és én	HU				0
tt0081721	19	Vincent et moi	CA	fr	imdbDisplay		0
tt0081721	1	Vincent and Me	IN	en	imdbDisplay		0
tt0081721	2	Vincent y yo	ES		imdbDisplay		0
tt0081721	3	Vincenzo ed io	IT		imdbDisplay		0
tt0081721	4	Vincent and Me	AU		imdbDisplay		0
tt0081721	5	Vincent and Me	US		imdbDisplay		0
tt0081721	6	Vincent et moi			original		1
tt0081721	7	विन्सेंट और मी	IN	hi	imdbDisplay		0
tt0081721	8	Vincent ja minä	FI				0
tt0081721	9	Vincent et moi	FR		imdbDisplay		0
tt0082473	1	The Great Barrier Reef	GB		imdbDisplay		0
tt0082473	2	IMAX: The Great Barrier Reef	US		video		0
tt0082473	3	A korallok birodalma	HU		imdbDisplay		0
tt0082473	4	Great Barrier Reef	US		imdbDisplay		0
tt0082473	5	The Great Barrier Reef	XWW	en	imdbDisplay		0
tt0082473	6	Great Barrier Reef			original		1
tt0082473	7	The Great Barrier Reef	US	en			0
tt0082891	1	Peep Show	CA				0
tt0083837	1	The Dirty Area	GB		imdbDisplay		0
tt0083837	2	The Dirty Area			original		1
tt0084015	1	Moon Over Paradise	US		video		0
tt0084015	2	Goodbye Paradise			original		1
tt0084015	3	Goodbye Paradise	US		imdbDisplay		0
tt0084447	1	Open House	CA				0
tt0084551	1	Pu ti you hun	TW		imdbDisplay		0
tt0084551	2	The Buddhist Spell	XWW	en			0
tt0084551	3	Pu ti you hun			original		1
tt0084638	1	Сцены из жизни Энди Уорхола	SUHH	ru	imdbDisplay		0
tt0084638	2	Warhol privat	DE		imdbDisplay		0
tt0084638	3	Scenes from the Life of Andy Warhol: Friendships and Intersections	US		imdbDisplay		0
tt0084638	4	Cenas da Vida de Andy Warhol: Amizades e Interseções	BR		imdbDisplay		0
tt0084638	5	Scenes from the Life of Andy Warhol: Friendships and Intersections			original		1
tt0084638	6	Escenas de la vida de Andy Warhol	VE				0
tt0084638	7	Σκηνές από τη ζωή του Άντι Γουόρχολ: Φιλίες και συναντήσεις	GR		imdbDisplay		0
tt0084870	10	Memories and Confessions	US		imdbDisplay		0
tt0084870	11	Visita ou Memórias e Confissões			original		1
tt0084870	12	访问：记忆与告白	CN	cmn		literal title	0
tt0084870	13	Memories and Confessions	CA	en	imdbDisplay		0
tt0084870	1	Visite ou Mémoires et Confessions	FR		imdbDisplay		0
tt0084870	2	Memories and Confessions	GB		imdbDisplay		0
tt0084870	3	訪問、あるいは記憶、そして告白	JP	ja	imdbDisplay		0
tt0084870	4	Conversazione privata	IT		imdbDisplay		0
tt0084870	5	Memories and Confessions	XWW	en	imdbDisplay		0
tt0084870	6	Visitas o memorias y confesiones	AR		imdbDisplay		0
tt0084870	7	Visit, or Memories and Confessions	DE		imdbDisplay		0
tt0084870	8	訪問：記憶與告白	HK	cmn		literal title	0
tt0084870	9	Visita ou Memórias e Confissões	PT		imdbDisplay		0
tt0087306	1	Les funérailles du Larle Naba	BF		imdbDisplay		0
tt0087306	2	The Funeral of Larle Naba					0
tt0087306	3	Les funérailles du Larle Naba			original		1
tt0088267	1	An Eternal Combat	HK	en	imdbDisplay		0
tt0088267	2	天地玄門	TW		imdbDisplay		0
tt0088267	3	An Eternal Combat	XWW	en	imdbDisplay		0
tt0088267	4	Tian di xuan men			original		1
tt0088267	5	Eternal Combat	FR		imdbDisplay		0
tt0088283	1	Tod durch elektrischen Strom	DDDE				0
tt0088656	1	A.D. Police File 2: The Ripper	US		imdbDisplay		0
tt0088656	2	Za Rippaa (The Ripper)			original		1
tt0088656	3	Za Rippaa (The Ripper)	JP				0
tt0088656	4	A.D. Police File 2: The Ripper	CA	en	imdbDisplay		0
tt0088656	5	A.D. Police File 2: The Paradise Loop	GB				0
tt0088656	6	A.D. Police File 2	US			short title	0
tt0088657	1	A.D. Police File 3: I Want Medicine...	GB				0
